Group/Source/Spectrum	Distinct Peptides	Distinct Matches	Filtered Spectra	Distinct Charges	Protein Groups
    H1-1-1	219	234	362	2	85
    H1-1-10_121020030745	1039	1204	2001	3	491
    H1-1-2_121019114606	624	674	1150	3	139
    H1-1-3_121019135728	934	1122	1717	4	149
    H1-1-4_121019160925	1439	1673	2232	4	213
    H1-1-5_121019060624	1467	1711	2428	3	264
    H1-1-6_121019182102	1424	1739	3162	5	233
    H1-1-7_121019203245	1783	2084	3308	5	403
    H1-1-8_121019224422	2097	2473	3298	4	633
    H1-1-9_121020005556	1890	2163	2945	4	687
    H-1-2-1	224	235	335	3	111
    H1-2-10	1549	1834	3186	3	674
    H1-2-2	231	240	499	3	76
    H1-2-3	945	1090	1634	4	169
    H1-2-4	1606	1946	2861	4	254
    H1-2-5	1519	1851	2623	4	231
    H1-2-6	1425	1761	3595	4	260
    H1-2-7	1729	2077	3815	5	430
    H1-2-8	2092	2528	3906	4	665
    H1-2-9	2170	2526	4254	4	683
    H2-1-1	277	305	604	3	102
    H2-1-10	1249	1494	2587	4	527
    H2-1-2	566	600	971	3	144
    H2-1-3	874	997	1583	3	132
    H2-1-4	1587	1886	2816	4	236
    H2-1-5	1545	1870	2985	4	238
    H2-1-6	1567	1946	3942	4	250
    H2-1-7	1573	1885	3639	5	366
    H2-1-8	1738	2056	3211	4	580
    H2-1-9	1911	2298	3379	4	628
    H2-2-1	571	645	1264	4	293
    H2-2-10	1194	1418	2548	3	528
    H2-2-2	518	562	1010	3	186
    H2-2-3	969	1190	1925	3	164
    H2-2-4	1410	1704	2741	4	212
    H2-2-5	1443	1785	3102	4	215
    H2-2-6	1665	2057	4455	5	270
    H2-2-7	1787	2148	4216	5	400
    H2-2-8	1907	2270	3677	4	626
    H2-2-9	1936	2265	3505	4	697
    SA1-1-1	307	338	546	3	99
    SA1-1-10	1144	1370	2224	4	478
    SA1-1-2	641	762	1090	5	140
    SA1-1-3	994	1240	1867	4	149
    SA1-1-4	1553	1913	2695	4	218
    SA1-1-5	1635	2002	3537	5	275
    SA1-1-6	1953	2329	3902	5	468
    SA1-1-7	2388	2918	4286	5	573
    SA1-1-8	2240	2750	4369	4	570
    SA1-1-9	1942	2309	3361	4	626
    SA1-2-1	326	345	568	3	111
    SA1-2-10	1064	1252	2147	4	470
    SA1-2-2	577	652	951	3	128
    SA1-2-3	1054	1264	1730	5	170
    SA1-2-4	1286	1580	2327	5	204
    SA1-2-5	1591	1965	3409	4	262
    SA1-2-6	1683	2013	3810	4	428
    SA1-2-7	2222	2732	4339	4	630
    SA1-2-8	2063	2523	4120	5	556
    SA1-2-9	1782	2099	3185	4	584
    SA2-1-1	588	642	1072	3	260
    SA2-1-1_121027092244	430	466	760	3	169
    SA2-1-10	1047	1223	2035	4	459
    SA2-1-10_121029005231	1108	1286	2067	4	479
    SA2-1-2	576	645	1002	3	177
    SA2-1-2_121027134554	584	652	990	3	162
    SA2-1-3	932	1103	1600	5	170
    SA2-1-3_121027180915	963	1118	1606	4	188
    SA2-1-4	1163	1392	1924	4	189
    SA2-1-4_121027223233	1191	1398	1941	5	191
    SA2-1-5	1675	2042	3359	5	284
    SA2-1-5_121028025550	1654	2042	3408	5	272
    SA2-1-6	1581	1903	3584	5	409
    SA2-1-6_121028071903	1612	1949	3711	4	417
    SA2-1-7	2102	2569	4000	5	569
    SA2-1-7_121028114221	2068	2522	3967	5	548
    SA2-1-8	1904	2295	3682	5	549
    SA2-1-8_121028160546	1962	2386	3867	4	576
    SA2-1-9	1676	1981	2984	4	578
    SA2-1-9_121028202914	1634	1952	2945	4	548
    SW1-1-1	201	212	383	3	70
    SW1-1-10	1561	1770	2515	4	660
    SW1-1-2	649	708	1072	4	175
    SW1-1-3	1054	1261	1834	4	168
    SW1-1-4	1166	1371	2015	4	214
    SW1-1-5	1436	1749	3002	4	236
    SW1-1-6	1840	2208	3909	5	438
    SW1-1-7	2096	2518	3647	5	521
    SW1-1-8	1828	2163	3409	4	559
    SW1-1-9	1514	1726	2506	4	590
    SW1-2-1	481	528	785	3	192
    SW1-2-10	1219	1381	2199	4	541
    SW1-2-2	733	822	1320	3	198
    SW1-2-3	967	1179	1737	4	162
    SW1-2-4	1169	1409	1964	4	186
    SW1-2-5	1418	1706	3079	5	247
    SW1-2-6	1658	1978	3411	5	420
    SW1-2-7	1910	2260	3531	4	539
    SW1-2-8	1765	2090	3279	4	573
    SW1-2-9	1418	1626	2406	4	531
    SW2-1-1	645	712	1219	4	300
    SW2-1-10	552	626	1018	4	299
    SW2-1-2	737	807	1201	3	252
    SW2-1-3	850	986	1455	4	170
    SW2-1-4	1247	1464	2173	5	210
    SW2-1-5	1415	1742	3155	4	258
    SW2-1-6	1640	1989	3347	4	413
    SW2-1-7	1978	2378	3696	4	518
    SW2-1-8	1869	2234	3452	4	569
    SW2-1-9	382	449	643	3	237
    SW2-2-1_121124053608	467	491	694	3	186
    SW2-2-10	692	804	1474	4	330
    SW2-2-2_121124074623	476	542	801	4	102
    SW2-2-3_121124095703	718	870	1372	4	107
    SW2-2-4_121124120729	883	1049	1483	4	130
    SW2-2-5_121124141758	895	1073	2003	3	164
    SW2-2-6	1313	1597	2536	4	369
    SW2-2-7	1430	1735	2584	4	403
    SW2-2-8	1363	1644	2486	5	459
    SW2-2-9	1125	1306	1923	4	437
